Review,Liked,Bert_Loss,Bert_Logits,RoBerta_Loss,RoBerta_Logits
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,"tensor(0.7155, grad_fn=<NllLossBackward>)","tensor([[0.1524, 0.1082]], grad_fn=<AddmmBackward>)","tensor(0.7254, grad_fn=<NllLossBackward>)","tensor([[0.0901, 0.0267]], grad_fn=<AddmmBackward>)"
you can watch them preparing the delicious food!),1,"tensor(0.5250, grad_fn=<NllLossBackward>)","tensor([[-0.1519,  0.2185]], grad_fn=<AddmmBackward>)","tensor(0.7104, grad_fn=<NllLossBackward>)","tensor([[0.0736, 0.0393]], grad_fn=<AddmmBackward>)"
Both of the egg rolls were fantastic.,1,"tensor(0.6473, grad_fn=<NllLossBackward>)","tensor([[0.0264, 0.1203]], grad_fn=<AddmmBackward>)","tensor(0.7302, grad_fn=<NllLossBackward>)","tensor([[0.0904, 0.0177]], grad_fn=<AddmmBackward>)"
"When my order arrived, one of the gyros was missing.",0,"tensor(0.5972, grad_fn=<NllLossBackward>)","tensor([[-0.0473,  0.1548]], grad_fn=<AddmmBackward>)","tensor(0.7248, grad_fn=<NllLossBackward>)","tensor([[0.0804, 0.0182]], grad_fn=<AddmmBackward>)"
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,"tensor(0.6377, grad_fn=<NllLossBackward>)","tensor([[0.0565, 0.1706]], grad_fn=<AddmmBackward>)","tensor(0.7277, grad_fn=<NllLossBackward>)","tensor([[0.0778, 0.0098]], grad_fn=<AddmmBackward>)"
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,"tensor(0.6795, grad_fn=<NllLossBackward>)","tensor([[0.0635, 0.0909]], grad_fn=<AddmmBackward>)","tensor(0.7215, grad_fn=<NllLossBackward>)","tensor([[0.0840, 0.0281]], grad_fn=<AddmmBackward>)"
The best place to go for a tasty bowl of Pho!,1,"tensor(0.6070, grad_fn=<NllLossBackward>)","tensor([[-0.0448,  0.1356]], grad_fn=<AddmmBackward>)","tensor(0.7016, grad_fn=<NllLossBackward>)","tensor([[0.0630, 0.0463]], grad_fn=<AddmmBackward>)"
The live music on Fridays totally blows.,0,"tensor(0.7813, grad_fn=<NllLossBackward>)","tensor([[ 0.0931, -0.0760]], grad_fn=<AddmmBackward>)","tensor(0.7237, grad_fn=<NllLossBackward>)","tensor([[0.0850, 0.0249]], grad_fn=<AddmmBackward>)"
I've never been more insulted or felt disrespected.,0,"tensor(0.7324, grad_fn=<NllLossBackward>)","tensor([[ 0.0563, -0.0206]], grad_fn=<AddmmBackward>)","tensor(0.7178, grad_fn=<NllLossBackward>)","tensor([[0.0734, 0.0246]], grad_fn=<AddmmBackward>)"
Very friendly staff.,1,"tensor(0.7408, grad_fn=<NllLossBackward>)","tensor([[0.1174, 0.0242]], grad_fn=<AddmmBackward>)","tensor(0.7192, grad_fn=<NllLossBackward>)","tensor([[0.0811, 0.0297]], grad_fn=<AddmmBackward>)"
It is worth the drive.,1,"tensor(0.6700, grad_fn=<NllLossBackward>)","tensor([[-0.0007,  0.0461]], grad_fn=<AddmmBackward>)","tensor(0.7220, grad_fn=<NllLossBackward>)","tensor([[0.0814, 0.0246]], grad_fn=<AddmmBackward>)"
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,"tensor(0.6411, grad_fn=<NllLossBackward>)","tensor([[-0.0060,  0.1011]], grad_fn=<AddmmBackward>)","tensor(0.7387, grad_fn=<NllLossBackward>)","tensor([[0.0897, 0.0006]], grad_fn=<AddmmBackward>)"
Food was great and so was the serivce!,1,"tensor(0.6402, grad_fn=<NllLossBackward>)","tensor([[0.0143, 0.1232]], grad_fn=<AddmmBackward>)","tensor(0.7030, grad_fn=<NllLossBackward>)","tensor([[0.0693, 0.0497]], grad_fn=<AddmmBackward>)"
The warm beer didn't help.,0,"tensor(0.6635, grad_fn=<NllLossBackward>)","tensor([[0.0295, 0.0898]], grad_fn=<AddmmBackward>)","tensor(0.7240, grad_fn=<NllLossBackward>)","tensor([[0.0890, 0.0282]], grad_fn=<AddmmBackward>)"
Great brunch spot.,1,"tensor(0.7384, grad_fn=<NllLossBackward>)","tensor([[0.1423, 0.0537]], grad_fn=<AddmmBackward>)","tensor(0.7304, grad_fn=<NllLossBackward>)","tensor([[0.0939, 0.0207]], grad_fn=<AddmmBackward>)"
Service is friendly and inviting.,1,"tensor(0.7618, grad_fn=<NllLossBackward>)","tensor([[0.1717, 0.0388]], grad_fn=<AddmmBackward>)","tensor(0.7182, grad_fn=<NllLossBackward>)","tensor([[0.0768, 0.0273]], grad_fn=<AddmmBackward>)"
Very good lunch spot.,1,"tensor(0.6994, grad_fn=<NllLossBackward>)","tensor([[0.0779, 0.0655]], grad_fn=<AddmmBackward>)","tensor(0.7299, grad_fn=<NllLossBackward>)","tensor([[0.0966, 0.0244]], grad_fn=<AddmmBackward>)"
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,"tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[0.0939, 0.0393]], grad_fn=<AddmmBackward>)","tensor(0.7409, grad_fn=<NllLossBackward>)","tensor([[0.1043, 0.0109]], grad_fn=<AddmmBackward>)"
The WORST EXPERIENCE EVER.,0,"tensor(0.6723, grad_fn=<NllLossBackward>)","tensor([[-0.0110,  0.0310]], grad_fn=<AddmmBackward>)","tensor(0.7186, grad_fn=<NllLossBackward>)","tensor([[0.0805, 0.0303]], grad_fn=<AddmmBackward>)"
Must have been an off night at this place.,0,"tensor(0.6252, grad_fn=<NllLossBackward>)","tensor([[0.0012, 0.1421]], grad_fn=<AddmmBackward>)","tensor(0.7338, grad_fn=<NllLossBackward>)","tensor([[0.1044, 0.0247]], grad_fn=<AddmmBackward>)"
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,"tensor(0.6416, grad_fn=<NllLossBackward>)","tensor([[0.0388, 0.1446]], grad_fn=<AddmmBackward>)","tensor(0.7216, grad_fn=<NllLossBackward>)","tensor([[0.0759, 0.0198]], grad_fn=<AddmmBackward>)"
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,"tensor(0.6614, grad_fn=<NllLossBackward>)","tensor([[0.0779, 0.1425]], grad_fn=<AddmmBackward>)","tensor(0.7328, grad_fn=<NllLossBackward>)","tensor([[0.1026, 0.0248]], grad_fn=<AddmmBackward>)"
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,"tensor(0.6762, grad_fn=<NllLossBackward>)","tensor([[0.0702, 0.1044]], grad_fn=<AddmmBackward>)","tensor(0.7185, grad_fn=<NllLossBackward>)","tensor([[0.0796, 0.0296]], grad_fn=<AddmmBackward>)"
My friend loved the salmon tartar.,1,"tensor(0.6013, grad_fn=<NllLossBackward>)","tensor([[-0.0425,  0.1504]], grad_fn=<AddmmBackward>)","tensor(0.7257, grad_fn=<NllLossBackward>)","tensor([[0.0864, 0.0223]], grad_fn=<AddmmBackward>)"
Won't go back.,0,"tensor(0.7093, grad_fn=<NllLossBackward>)","tensor([[0.0514, 0.0193]], grad_fn=<AddmmBackward>)","tensor(0.7174, grad_fn=<NllLossBackward>)","tensor([[0.0832, 0.0353]], grad_fn=<AddmmBackward>)"
Extremely Tasty!,1,"tensor(0.5964, grad_fn=<NllLossBackward>)","tensor([[-0.0537,  0.1501]], grad_fn=<AddmmBackward>)","tensor(0.7024, grad_fn=<NllLossBackward>)","tensor([[0.0680, 0.0495]], grad_fn=<AddmmBackward>)"
Waitress was good though!,1,"tensor(0.5946, grad_fn=<NllLossBackward>)","tensor([[-0.0449,  0.1630]], grad_fn=<AddmmBackward>)","tensor(0.7061, grad_fn=<NllLossBackward>)","tensor([[0.0751, 0.0494]], grad_fn=<AddmmBackward>)"
Soggy and not good.,0,"tensor(0.7337, grad_fn=<NllLossBackward>)","tensor([[0.1190, 0.0394]], grad_fn=<AddmmBackward>)","tensor(0.7175, grad_fn=<NllLossBackward>)","tensor([[0.0813, 0.0332]], grad_fn=<AddmmBackward>)"
The Jamaican mojitos are delicious.,1,"tensor(0.6514, grad_fn=<NllLossBackward>)","tensor([[0.0616, 0.1470]], grad_fn=<AddmmBackward>)","tensor(0.7204, grad_fn=<NllLossBackward>)","tensor([[0.0764, 0.0226]], grad_fn=<AddmmBackward>)"
Which are small and not worth the price.,0,"tensor(0.6821, grad_fn=<NllLossBackward>)","tensor([[0.0874, 0.1097]], grad_fn=<AddmmBackward>)","tensor(0.7167, grad_fn=<NllLossBackward>)","tensor([[0.0806, 0.0340]], grad_fn=<AddmmBackward>)"
- the food is rich so order accordingly.,1,"tensor(0.7047, grad_fn=<NllLossBackward>)","tensor([[0.1583, 0.1353]], grad_fn=<AddmmBackward>)","tensor(0.7199, grad_fn=<NllLossBackward>)","tensor([[0.0759, 0.0231]], grad_fn=<AddmmBackward>)"
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,"tensor(0.6822, grad_fn=<NllLossBackward>)","tensor([[0.0677, 0.0897]], grad_fn=<AddmmBackward>)","tensor(0.7088, grad_fn=<NllLossBackward>)","tensor([[0.0665, 0.0355]], grad_fn=<AddmmBackward>)"
The service was a bit lacking.,0,"tensor(0.6001, grad_fn=<NllLossBackward>)","tensor([[-0.0035,  0.1922]], grad_fn=<AddmmBackward>)","tensor(0.7119, grad_fn=<NllLossBackward>)","tensor([[0.0701, 0.0329]], grad_fn=<AddmmBackward>)"
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,"tensor(0.6704, grad_fn=<NllLossBackward>)","tensor([[0.1015, 0.1475]], grad_fn=<AddmmBackward>)","tensor(0.7227, grad_fn=<NllLossBackward>)","tensor([[0.0883, 0.0300]], grad_fn=<AddmmBackward>)"
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,"tensor(0.7043, grad_fn=<NllLossBackward>)","tensor([[0.1221, 0.0999]], grad_fn=<AddmmBackward>)","tensor(0.7273, grad_fn=<NllLossBackward>)","tensor([[0.0947, 0.0275]], grad_fn=<AddmmBackward>)"
"It was either too cold, not enough flavor or just bad.",0,"tensor(0.6115, grad_fn=<NllLossBackward>)","tensor([[-0.0324,  0.1383]], grad_fn=<AddmmBackward>)","tensor(0.7267, grad_fn=<NllLossBackward>)","tensor([[0.0917, 0.0257]], grad_fn=<AddmmBackward>)"
I loved the bacon wrapped dates.,1,"tensor(0.7001, grad_fn=<NllLossBackward>)","tensor([[0.0726, 0.0587]], grad_fn=<AddmmBackward>)","tensor(0.7260, grad_fn=<NllLossBackward>)","tensor([[0.0954, 0.0307]], grad_fn=<AddmmBackward>)"
This is an unbelievable BARGAIN!,1,"tensor(0.6591, grad_fn=<NllLossBackward>)","tensor([[-0.0087,  0.0606]], grad_fn=<AddmmBackward>)","tensor(0.7062, grad_fn=<NllLossBackward>)","tensor([[0.0696, 0.0436]], grad_fn=<AddmmBackward>)"
The folks at Otto always make us feel so welcome and special.,1,"tensor(0.6991, grad_fn=<NllLossBackward>)","tensor([[0.1043, 0.0925]], grad_fn=<AddmmBackward>)","tensor(0.7168, grad_fn=<NllLossBackward>)","tensor([[0.0744, 0.0276]], grad_fn=<AddmmBackward>)"
"As for the ""mains,"" also uninspired.",0,"tensor(0.6811, grad_fn=<NllLossBackward>)","tensor([[0.0462, 0.0705]], grad_fn=<AddmmBackward>)","tensor(0.7112, grad_fn=<NllLossBackward>)","tensor([[0.0784, 0.0426]], grad_fn=<AddmmBackward>)"
This is the place where I first had pho and it was amazing!!,1,"tensor(0.6411, grad_fn=<NllLossBackward>)","tensor([[-0.0241,  0.0829]], grad_fn=<AddmmBackward>)","tensor(0.7111, grad_fn=<NllLossBackward>)","tensor([[0.0751, 0.0396]], grad_fn=<AddmmBackward>)"
This wonderful experience made this place a must-stop whenever we are in town again.,1,"tensor(0.5885, grad_fn=<NllLossBackward>)","tensor([[-0.0642,  0.1573]], grad_fn=<AddmmBackward>)","tensor(0.7274, grad_fn=<NllLossBackward>)","tensor([[0.0891, 0.0216]], grad_fn=<AddmmBackward>)"
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,"tensor(0.6980, grad_fn=<NllLossBackward>)","tensor([[0.1164, 0.1067]], grad_fn=<AddmmBackward>)","tensor(0.7198, grad_fn=<NllLossBackward>)","tensor([[0.0715, 0.0188]], grad_fn=<AddmmBackward>)"
Very very fun chef.,1,"tensor(0.6728, grad_fn=<NllLossBackward>)","tensor([[0.0051, 0.0462]], grad_fn=<AddmmBackward>)","tensor(0.7272, grad_fn=<NllLossBackward>)","tensor([[0.0900, 0.0230]], grad_fn=<AddmmBackward>)"
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,"tensor(0.6734, grad_fn=<NllLossBackward>)","tensor([[0.0568, 0.0968]], grad_fn=<AddmmBackward>)","tensor(0.7083, grad_fn=<NllLossBackward>)","tensor([[0.0767, 0.0467]], grad_fn=<AddmmBackward>)"
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,"tensor(0.7023, grad_fn=<NllLossBackward>)","tensor([[0.0951, 0.0768]], grad_fn=<AddmmBackward>)","tensor(0.7131, grad_fn=<NllLossBackward>)","tensor([[0.0694, 0.0299]], grad_fn=<AddmmBackward>)"
"If it were possible to give them zero stars, they'd have it.",0,"tensor(0.5740, grad_fn=<NllLossBackward>)","tensor([[-0.0542,  0.2003]], grad_fn=<AddmmBackward>)","tensor(0.7191, grad_fn=<NllLossBackward>)","tensor([[0.0842, 0.0330]], grad_fn=<AddmmBackward>)"
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,"tensor(0.6925, grad_fn=<NllLossBackward>)","tensor([[0.1565, 0.1577]], grad_fn=<AddmmBackward>)","tensor(0.7166, grad_fn=<NllLossBackward>)","tensor([[0.0783, 0.0319]], grad_fn=<AddmmBackward>)"
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,"tensor(0.6669, grad_fn=<NllLossBackward>)","tensor([[0.0533, 0.1064]], grad_fn=<AddmmBackward>)","tensor(0.7031, grad_fn=<NllLossBackward>)","tensor([[0.0711, 0.0513]], grad_fn=<AddmmBackward>)"
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,"tensor(0.6733, grad_fn=<NllLossBackward>)","tensor([[0.0346, 0.0746]], grad_fn=<AddmmBackward>)","tensor(0.7254, grad_fn=<NllLossBackward>)","tensor([[0.0945, 0.0310]], grad_fn=<AddmmBackward>)"
"Everyone is very attentive, providing excellent customer service.",1,"tensor(0.7282, grad_fn=<NllLossBackward>)","tensor([[0.1356, 0.0668]], grad_fn=<AddmmBackward>)","tensor(0.7190, grad_fn=<NllLossBackward>)","tensor([[0.0763, 0.0253]], grad_fn=<AddmmBackward>)"
Horrible - don't waste your time and money.,0,"tensor(0.6530, grad_fn=<NllLossBackward>)","tensor([[0.0567, 0.1386]], grad_fn=<AddmmBackward>)","tensor(0.7165, grad_fn=<NllLossBackward>)","tensor([[0.0718, 0.0255]], grad_fn=<AddmmBackward>)"
Now this dish was quite flavourful.,1,"tensor(0.6530, grad_fn=<NllLossBackward>)","tensor([[0.0400, 0.1220]], grad_fn=<AddmmBackward>)","tensor(0.7352, grad_fn=<NllLossBackward>)","tensor([[0.0969, 0.0145]], grad_fn=<AddmmBackward>)"
By this time our side of the restaurant was almost empty so there was no excuse.,0,"tensor(0.6839, grad_fn=<NllLossBackward>)","tensor([[0.0402, 0.0589]], grad_fn=<AddmmBackward>)","tensor(0.7294, grad_fn=<NllLossBackward>)","tensor([[0.0943, 0.0230]], grad_fn=<AddmmBackward>)"
"(It wasn't busy either) Also, the building was FREEZING cold.",0,"tensor(0.7004, grad_fn=<NllLossBackward>)","tensor([[0.1091, 0.0946]], grad_fn=<AddmmBackward>)","tensor(0.7276, grad_fn=<NllLossBackward>)","tensor([[0.0948, 0.0270]], grad_fn=<AddmmBackward>)"
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,"tensor(0.6641, grad_fn=<NllLossBackward>)","tensor([[0.0037, 0.0627]], grad_fn=<AddmmBackward>)","tensor(0.7044, grad_fn=<NllLossBackward>)","tensor([[0.0603, 0.0380]], grad_fn=<AddmmBackward>)"
-Drinks took close to 30 minutes to come out at one point.,0,"tensor(0.6085, grad_fn=<NllLossBackward>)","tensor([[-0.0488,  0.1284]], grad_fn=<AddmmBackward>)","tensor(0.7199, grad_fn=<NllLossBackward>)","tensor([[0.0918, 0.0390]], grad_fn=<AddmmBackward>)"
"Seriously flavorful delights, folks.",1,"tensor(0.6659, grad_fn=<NllLossBackward>)","tensor([[0.0265, 0.0818]], grad_fn=<AddmmBackward>)","tensor(0.7169, grad_fn=<NllLossBackward>)","tensor([[0.0708, 0.0239]], grad_fn=<AddmmBackward>)"
Much better than the other AYCE sushi place I went to in Vegas.,1,"tensor(0.6274, grad_fn=<NllLossBackward>)","tensor([[0.0224, 0.1586]], grad_fn=<AddmmBackward>)","tensor(0.7288, grad_fn=<NllLossBackward>)","tensor([[0.0852, 0.0151]], grad_fn=<AddmmBackward>)"
The lighting is just dark enough to set the mood.,1,"tensor(0.6893, grad_fn=<NllLossBackward>)","tensor([[0.0235, 0.0313]], grad_fn=<AddmmBackward>)","tensor(0.7212, grad_fn=<NllLossBackward>)","tensor([[0.0878, 0.0324]], grad_fn=<AddmmBackward>)"
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,"tensor(0.6790, grad_fn=<NllLossBackward>)","tensor([[0.0865, 0.1150]], grad_fn=<AddmmBackward>)","tensor(0.7198, grad_fn=<NllLossBackward>)","tensor([[0.0779, 0.0254]], grad_fn=<AddmmBackward>)"
Owner's are really great people.!,1,"tensor(0.7668, grad_fn=<NllLossBackward>)","tensor([[0.1500, 0.0078]], grad_fn=<AddmmBackward>)","tensor(0.7146, grad_fn=<NllLossBackward>)","tensor([[0.0801, 0.0376]], grad_fn=<AddmmBackward>)"
There is nothing privileged about working/eating there.,0,"tensor(0.6742, grad_fn=<NllLossBackward>)","tensor([[0.0681, 0.1064]], grad_fn=<AddmmBackward>)","tensor(0.7259, grad_fn=<NllLossBackward>)","tensor([[0.0800, 0.0156]], grad_fn=<AddmmBackward>)"
The Greek dressing was very creamy and flavorful.,1,"tensor(0.6882, grad_fn=<NllLossBackward>)","tensor([[0.0951, 0.1049]], grad_fn=<AddmmBackward>)","tensor(0.7293, grad_fn=<NllLossBackward>)","tensor([[0.0816, 0.0105]], grad_fn=<AddmmBackward>)"
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,"tensor(0.6637, grad_fn=<NllLossBackward>)","tensor([[0.0682, 0.1279]], grad_fn=<AddmmBackward>)","tensor(0.7309, grad_fn=<NllLossBackward>)","tensor([[0.0820, 0.0079]], grad_fn=<AddmmBackward>)"
Now the pizza itself was good the peanut sauce was very tasty.,1,"tensor(0.6582, grad_fn=<NllLossBackward>)","tensor([[0.0646, 0.1357]], grad_fn=<AddmmBackward>)","tensor(0.7299, grad_fn=<NllLossBackward>)","tensor([[0.0869, 0.0147]], grad_fn=<AddmmBackward>)"
We had 7 at our table and the service was pretty fast.,1,"tensor(0.6002, grad_fn=<NllLossBackward>)","tensor([[-0.0063,  0.1890]], grad_fn=<AddmmBackward>)","tensor(0.7330, grad_fn=<NllLossBackward>)","tensor([[0.0981, 0.0200]], grad_fn=<AddmmBackward>)"
Fantastic service here.,1,"tensor(0.6486, grad_fn=<NllLossBackward>)","tensor([[0.0137, 0.1049]], grad_fn=<AddmmBackward>)","tensor(0.7103, grad_fn=<NllLossBackward>)","tensor([[0.0677, 0.0337]], grad_fn=<AddmmBackward>)"
I as well would've given godfathers zero stars if possible.,0,"tensor(0.6199, grad_fn=<NllLossBackward>)","tensor([[-0.0362,  0.1161]], grad_fn=<AddmmBackward>)","tensor(0.7191, grad_fn=<NllLossBackward>)","tensor([[0.0865, 0.0353]], grad_fn=<AddmmBackward>)"
They know how to make them here.,1,"tensor(0.6596, grad_fn=<NllLossBackward>)","tensor([[0.0295, 0.0976]], grad_fn=<AddmmBackward>)","tensor(0.7193, grad_fn=<NllLossBackward>)","tensor([[0.0891, 0.0375]], grad_fn=<AddmmBackward>)"
very tough and very short on flavor!,0,"tensor(0.6767, grad_fn=<NllLossBackward>)","tensor([[0.0493, 0.0825]], grad_fn=<AddmmBackward>)","tensor(0.7050, grad_fn=<NllLossBackward>)","tensor([[0.0726, 0.0490]], grad_fn=<AddmmBackward>)"
I hope this place sticks around.,1,"tensor(0.7296, grad_fn=<NllLossBackward>)","tensor([[0.1099, 0.0383]], grad_fn=<AddmmBackward>)","tensor(0.7331, grad_fn=<NllLossBackward>)","tensor([[0.0987, 0.0203]], grad_fn=<AddmmBackward>)"
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,"tensor(0.7434, grad_fn=<NllLossBackward>)","tensor([[0.1108, 0.0127]], grad_fn=<AddmmBackward>)","tensor(0.7364, grad_fn=<NllLossBackward>)","tensor([[0.0949, 0.0102]], grad_fn=<AddmmBackward>)"
The restaurant atmosphere was exquisite.,1,"tensor(0.6858, grad_fn=<NllLossBackward>)","tensor([[0.0673, 0.0821]], grad_fn=<AddmmBackward>)","tensor(0.7239, grad_fn=<NllLossBackward>)","tensor([[0.0786, 0.0180]], grad_fn=<AddmmBackward>)"
"Good service, very clean, and inexpensive, to boot!",1,"tensor(0.6646, grad_fn=<NllLossBackward>)","tensor([[0.0276, 0.0856]], grad_fn=<AddmmBackward>)","tensor(0.7005, grad_fn=<NllLossBackward>)","tensor([[0.0603, 0.0457]], grad_fn=<AddmmBackward>)"
The seafood was fresh and generous in portion.,1,"tensor(0.6902, grad_fn=<NllLossBackward>)","tensor([[0.0805, 0.0863]], grad_fn=<AddmmBackward>)","tensor(0.7259, grad_fn=<NllLossBackward>)","tensor([[0.0824, 0.0179]], grad_fn=<AddmmBackward>)"
"Plus, it's only 8 bucks.",1,"tensor(0.6394, grad_fn=<NllLossBackward>)","tensor([[-0.0272,  0.0833]], grad_fn=<AddmmBackward>)","tensor(0.7226, grad_fn=<NllLossBackward>)","tensor([[0.0839, 0.0259]], grad_fn=<AddmmBackward>)"
"The service was not up to par, either.",0,"tensor(0.6119, grad_fn=<NllLossBackward>)","tensor([[-0.0085,  0.1613]], grad_fn=<AddmmBackward>)","tensor(0.7177, grad_fn=<NllLossBackward>)","tensor([[0.0855, 0.0371]], grad_fn=<AddmmBackward>)"
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,"tensor(0.6761, grad_fn=<NllLossBackward>)","tensor([[0.0491, 0.0836]], grad_fn=<AddmmBackward>)","tensor(0.7267, grad_fn=<NllLossBackward>)","tensor([[0.0800, 0.0139]], grad_fn=<AddmmBackward>)"
Just as good as when I had it more than a year ago!,1,"tensor(0.5874, grad_fn=<NllLossBackward>)","tensor([[-0.0947,  0.1293]], grad_fn=<AddmmBackward>)","tensor(0.7092, grad_fn=<NllLossBackward>)","tensor([[0.0767, 0.0449]], grad_fn=<AddmmBackward>)"
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,"tensor(0.6472, grad_fn=<NllLossBackward>)","tensor([[0.0685, 0.1626]], grad_fn=<AddmmBackward>)","tensor(0.7297, grad_fn=<NllLossBackward>)","tensor([[0.0853, 0.0135]], grad_fn=<AddmmBackward>)"
The Veggitarian platter is out of this world!,1,"tensor(0.6670, grad_fn=<NllLossBackward>)","tensor([[-0.0042,  0.0488]], grad_fn=<AddmmBackward>)","tensor(0.7030, grad_fn=<NllLossBackward>)","tensor([[0.0621, 0.0426]], grad_fn=<AddmmBackward>)"
You cant go wrong with any of the food here.,1,"tensor(0.7716, grad_fn=<NllLossBackward>)","tensor([[ 0.1360, -0.0152]], grad_fn=<AddmmBackward>)","tensor(0.7300, grad_fn=<NllLossBackward>)","tensor([[0.0946, 0.0223]], grad_fn=<AddmmBackward>)"
You can't beat that.,1,"tensor(0.5307, grad_fn=<NllLossBackward>)","tensor([[-0.1824,  0.1739]], grad_fn=<AddmmBackward>)","tensor(0.7177, grad_fn=<NllLossBackward>)","tensor([[0.0793, 0.0309]], grad_fn=<AddmmBackward>)"
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,"tensor(0.7431, grad_fn=<NllLossBackward>)","tensor([[0.1168, 0.0192]], grad_fn=<AddmmBackward>)","tensor(0.7225, grad_fn=<NllLossBackward>)","tensor([[0.0790, 0.0211]], grad_fn=<AddmmBackward>)"
The chefs were friendly and did a good job.,1,"tensor(0.6980, grad_fn=<NllLossBackward>)","tensor([[0.1123, 0.1026]], grad_fn=<AddmmBackward>)","tensor(0.7205, grad_fn=<NllLossBackward>)","tensor([[0.0813, 0.0273]], grad_fn=<AddmmBackward>)"
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,"tensor(0.6750, grad_fn=<NllLossBackward>)","tensor([[0.0205, 0.0572]], grad_fn=<AddmmBackward>)","tensor(0.7297, grad_fn=<NllLossBackward>)","tensor([[0.0870, 0.0151]], grad_fn=<AddmmBackward>)"
I liked the patio and the service was outstanding.,1,"tensor(0.7024, grad_fn=<NllLossBackward>)","tensor([[0.1082, 0.0898]], grad_fn=<AddmmBackward>)","tensor(0.7307, grad_fn=<NllLossBackward>)","tensor([[0.0899, 0.0161]], grad_fn=<AddmmBackward>)"
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,"tensor(0.6859, grad_fn=<NllLossBackward>)","tensor([[0.0175, 0.0320]], grad_fn=<AddmmBackward>)","tensor(0.7035, grad_fn=<NllLossBackward>)","tensor([[0.0610, 0.0403]], grad_fn=<AddmmBackward>)"
I think not again,0,"tensor(0.5449, grad_fn=<NllLossBackward>)","tensor([[-0.1053,  0.2172]], grad_fn=<AddmmBackward>)","tensor(0.7088, grad_fn=<NllLossBackward>)","tensor([[0.0733, 0.0422]], grad_fn=<AddmmBackward>)"
I had the mac salad and it was pretty bland so I will not be getting that again.,0,"tensor(0.6542, grad_fn=<NllLossBackward>)","tensor([[0.0163, 0.0958]], grad_fn=<AddmmBackward>)","tensor(0.7336, grad_fn=<NllLossBackward>)","tensor([[0.0933, 0.0139]], grad_fn=<AddmmBackward>)"
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,"tensor(0.7009, grad_fn=<NllLossBackward>)","tensor([[0.0913, 0.0758]], grad_fn=<AddmmBackward>)","tensor(0.7333, grad_fn=<NllLossBackward>)","tensor([[0.0881, 0.0094]], grad_fn=<AddmmBackward>)"
Service stinks here!,0,"tensor(0.6251, grad_fn=<NllLossBackward>)","tensor([[-0.0239,  0.1171]], grad_fn=<AddmmBackward>)","tensor(0.7016, grad_fn=<NllLossBackward>)","tensor([[0.0649, 0.0480]], grad_fn=<AddmmBackward>)"
I waited and waited.,0,"tensor(0.7158, grad_fn=<NllLossBackward>)","tensor([[0.0778, 0.0331]], grad_fn=<AddmmBackward>)","tensor(0.7308, grad_fn=<NllLossBackward>)","tensor([[0.0899, 0.0159]], grad_fn=<AddmmBackward>)"
"This place is not quality sushi, it is not a quality restaurant.",0,"tensor(0.7256, grad_fn=<NllLossBackward>)","tensor([[0.1330, 0.0691]], grad_fn=<AddmmBackward>)","tensor(0.7258, grad_fn=<NllLossBackward>)","tensor([[0.0807, 0.0164]], grad_fn=<AddmmBackward>)"
